基金代码,基金名称,指数代码,指数名称,上市日期,基金类型
516720.SH,浦银安盛中证ESG120策略ETF,931476.CSI,中证ESG120策略指数,2021-08-13,行业
516800.SH,华宝中证智能制造主题ETF,930850.CSI,中证智能制造主题指数,2021-02-19,行业
516820.SH,平安中证医疗创新ETF,931484.CSI,中证医药及医疗器械创新指数,2021-07-01,行业
516830.SH,富国沪深300ESG基准ETF,931463.CSI,沪深300ESG基准指数,2021-07-05,行业
516900.SH,华安中证申万食品饮料ETF,000807.CSI,中证申万食品饮料指数,2021-04-28,行业
516910.SH,富国中证现代物流ETF,930716.CSI,中证现代物流指数,2021-06-11,行业
516950.SH,基建ETF,930608.CSI,中证基建指数,2021-05-14,行业
516970.SH,广发中证基建工程ETF,399995.SZ,中证基建工程指数,2021-07-05,行业
517000.SH,沪港深,H30455.CSI,中证沪港深500指数,2021-03-05,宽基
517050.SH,互联网50,930625.CSI,中证沪港深互联网指数,2021-02-08,行业
517300.SH,国寿安保中证沪港深300ETF,931395.CSI,中证沪港深300指数,2021-02-24,宽基
518880.SH,华安黄金易(ETF),Au99.99.SGE,黄金9999,2013-07-29,QDII
560030.SH,汇添富中证800价值ETF,H30356.CSI,中证800价值指数,2023-07-10,宽基
560080.SH,汇添富中证中药ETF,930641.CSI,中证中药指数,2022-10-17,行业
560800.SH,鹏扬中证数字经济主题ETF,931582.CSI,中证数字经济主题指数,2022-01-07,行业
560980.SH,广发中证光伏龙头30ETF,931798.CSI,中证光伏龙头30指数,2022-11-29,行业
561130.SH,富国中证新华社民族品牌工程ETF,931403.CSI,中证新华社民族品牌工程指数,2021-10-18,行业
561170.SH,富国中证绿色电力ETF,931897.CSI,中证绿色电力指数,2023-03-16,行业
561580.SH,央企红利,000825.CSI,中证中央企业红利指数,2023-05-30,行业
562310.SH,300成长,000918.CSI,沪深300成长指数,2022-09-09,宽基
562320.SH,300价值A,000919.CSI,沪深300价值指数,2023-01-12,宽基
562330.SH,500价值,H30352.CSI,中证500价值指数,2023-04-18,宽基
562500.SH,华夏中证机器人ETF,H30590.CSI,中证机器人指数,2021-12-29,行业
562520.SH,华夏中证智选1000成长创新策略ETF,931591.CSI,中证智选1000成长创新策略指数,2022-03-22,宽基
562530.SH,华夏中证智选1000价值稳健策略ETF,931588.CSI,中证智选1000价值稳健策略指数,2022-08-12,宽基
562800.SH,嘉实中证稀有金属主题ETF,930632.CSI,中证稀有金属主题指数,2021-09-27,行业
562950.SH,易方达中证消费电子主题ETF,931494.CSI,中证消费电子主题指数,2022-01-20,行业
562990.SH,易方达中证上海环交所碳中和ETF,931755.CSI,中证上海环交所碳中和指数,2022-07-19,行业
563000.SH,易方达MSCI中国A50互联互通ETF,746059L.MI,MSCI中国A50互联互通(人民币)指数(本币),2021-11-08,QDII
563300.SH,中证2000,932000.CSI,中证2000指数,2023-09-14,宽基
563330.SH,A股ETF,930903.CSI,中证A股指数,2023-11-07,宽基
588000.SH,华夏上证科创板50成份ETF,000688.SH,上证科创板50成份指数,2020-11-16,宽基
588010.SH,博时上证科创板新材料ETF,000689.SH,上证科创板新材料指数,2022-10-26,行业
588020.SH,易方达上证科创板成长ETF,000690.SH,上证科创板成长指数,2023-08-31,宽基
588100.SH,嘉实上证科创板新一代信息技术ETF,000682.SH,上证科创板新一代信息技术指数,2022-05-27,行业
588200.SH,嘉实上证科创板芯片ETF,000685.SH,上证科创板芯片指数,2022-10-26,行业
588220.SH,科创100ETF基金,000698.SH,上证科创板100指数,2023-09-15,宽基
